tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-507517,Yokohama (JP),Port of Seattle (US),Global Freight Air,15,1490,4435.81,0.78,0.94,1,7.1
TRK-219781,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,11,1136,3012.67,0.6,0.87,1,3.5
TRK-747351,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,12,739,2728.49,0.35,0.57,0,0.0
TRK-744333,Yokohama (JP),Port of Los Angeles (US),DHL Express,11,2264,4222.29,0.52,0.1,0,0.0
TRK-428399,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,15,938,4529.82,0.16,0.64,0,0.0
TRK-222629,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,6,2069,2646.04,0.32,0.46,0,0.0
TRK-635638,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,10,1214,2702.7,0.86,0.62,1,4.3
TRK-244564,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,21,1707,6054.94,0.46,0.53,1,4.2
TRK-294776,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,10,1497,2386.1,0.31,0.54,0,0.0
TRK-827117,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,14,1423,3476.4,0.14,0.18,0,0.0
TRK-274971,Shenzhen Port (CN),Port of New York (US),DHL Express,32,2497,7414.1,0.87,0.44,1,8.2
TRK-296187,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,24,1982,6356.65,0.25,0.45,0,0.0
TRK-156215,Singapore (SG),Port of New York (US),Maersk Line,19,664,3705.79,0.79,0.92,1,6.8
TRK-608149,Ningbo-Zhoushan (CN),Port of Long Beach (US),OceanNet Logistics,20,450,5740.62,0.82,0.2,1,5.5
TRK-688861,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,34,1115,9717.28,0.07,0.68,0,0.0
TRK-529008,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,31,2168,6827.1,0.07,0.13,0,0.0
TRK-844638,Singapore (SG),Port of Seattle (US),OceanNet Logistics,19,437,4317.55,0.54,0.28,0,0.0
TRK-275377,Shanghai Port (CN),Port of Oakland (US),Maersk Line,5,380,1437.09,0.24,0.14,0,0.0
TRK-934541,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,34,591,9048.71,0.82,0.47,1,10.5
TRK-134283,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,14,601,3119.72,0.87,0.93,1,6.3
TRK-402692,Ningbo-Zhoushan (CN),Port of Seattle (US),Global Freight Air,30,1824,8712.58,0.33,0.1,0,0.0
TRK-878586,Singapore (SG),Port of Seattle (US),Global Freight Air,9,1889,2896.74,0.06,0.18,0,0.0
TRK-635618,Shanghai Port (CN),Port of Oakland (US),Maersk Line,19,962,6398.05,0.49,0.83,1,6.7
TRK-380901,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,30,1821,5704.79,0.89,0.37,1,8.5
TRK-668373,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,11,585,3126.44,0.79,0.73,1,3.3
TRK-672892,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,30,2178,7981.76,0.57,0.67,1,9.0
TRK-871740,Singapore (SG),Port of Vancouver (CA),DHL Express,26,648,5762.33,0.81,0.07,1,5.2
TRK-412170,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,10,258,1988.14,0.36,0.59,0,0.0
TRK-375581,Hamburg Port (DE),Port of Los Angeles (US),OceanNet Logistics,28,2096,7230.81,0.61,0.57,1,8.4
TRK-223088,Singapore (SG),Port of Long Beach (US),DHL Express,9,1165,1942.96,0.17,0.66,0,0.0
TRK-950083,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,25,1252,5456.41,0.36,0.35,0,0.0
TRK-845279,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,10,736,2852.4,0.11,0.64,0,0.0
TRK-274044,Yokohama (JP),Port of Long Beach (US),DHL Express,6,2351,3287.83,0.91,0.32,1,2.1
TRK-953047,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,31,2020,9019.88,0.24,0.76,1,8.2
TRK-467856,Yokohama (JP),Port of New York (US),Global Freight Air,28,1081,4483.61,0.49,0.06,0,0.0
TRK-664939,Ningbo-Zhoushan (CN),Port of New York (US),FedEx Supply Chain,14,1659,4926.15,0.18,0.63,0,0.0
TRK-403387,Yokohama (JP),Port of New York (US),Global Freight Air,26,1011,5383.22,0.8,0.49,1,8.9
TRK-812296,Singapore (SG),Port of Los Angeles (US),DHL Express,9,1198,2136.65,0.37,0.56,0,0.0
TRK-886530,Singapore (SG),Port of Seattle (US),Maersk Line,31,1162,6338.69,0.86,0.14,1,8.5
TRK-390794,Singapore (SG),Port of Vancouver (CA),DHL Express,13,2018,4402.13,0.46,0.9,1,5.3
TRK-835499,Singapore (SG),Port of Long Beach (US),DHL Express,5,2203,1954.07,0.35,0.57,0,0.0
TRK-253347,Rotterdam (NL),Port of New York (US),DHL Express,20,1949,4180.69,0.43,0.46,0,0.0
TRK-898462,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,17,1495,5089.14,0.13,0.26,0,0.0
TRK-613234,Ningbo-Zhoushan (CN),Port of Oakland (US),FedEx Supply Chain,22,1587,5916.71,0.66,0.66,1,7.1
TRK-758309,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,11,1408,2525.97,0.85,0.56,1,5.6
TRK-179184,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,18,200,2264.55,0.47,0.67,1,4.6
TRK-640659,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,30,2103,5748.55,0.82,0.79,1,9.5
TRK-576782,Shenzhen Port (CN),Port of New York (US),Global Freight Air,33,1514,5065.12,0.57,0.14,0,0.0
TRK-102593,Singapore (SG),Port of Vancouver (CA),Maersk Line,14,1972,4494.14,0.61,0.48,1,5.8
TRK-866437,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,34,1152,8983.49,0.28,0.7,1,6.6
TRK-991401,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,33,2407,6766.31,0.79,0.26,1,9.0
TRK-328411,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,23,161,2996.86,0.57,0.87,1,6.2
TRK-381581,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,20,560,4802.22,0.92,0.87,1,7.4
TRK-673896,Yokohama (JP),Port of Long Beach (US),Global Freight Air,16,2024,5189.25,0.92,0.2,1,4.6
TRK-993829,Shenzhen Port (CN),Port of New York (US),Maersk Line,34,2261,9667.69,0.39,0.13,0,0.0
TRK-148174,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,30,485,7195.9,0.42,0.2,0,0.0
TRK-117072,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,16,2458,2708.85,0.18,0.64,0,0.0
TRK-578693,Shanghai Port (CN),Port of Seattle (US),DHL Express,16,146,3356.98,0.81,0.45,1,6.0
TRK-822040,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,28,782,7196.3,0.5,0.17,0,0.0
TRK-266699,Singapore (SG),Port of New York (US),Maersk Line,26,496,5901.52,0.82,0.36,1,7.0
TRK-786385,Hamburg Port (DE),Port of New York (US),Maersk Line,21,2132,5337.02,0.87,0.19,1,6.4
TRK-489906,Rotterdam (NL),Port of Vancouver (CA),DHL Express,24,1681,5392.47,0.45,0.36,0,0.0
TRK-154302,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,33,991,9450.14,0.91,0.22,1,9.6
TRK-861253,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,23,872,3332.74,0.67,0.9,1,7.9
TRK-787326,Shanghai Port (CN),Port of Vancouver (CA),Maersk Line,31,801,5310.02,0.73,0.72,1,8.3
TRK-101139,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,9,2102,3557.49,0.39,0.21,0,0.0
TRK-239145,Yokohama (JP),Port of Long Beach (US),Global Freight Air,12,1768,2754.4,0.57,0.59,1,5.1
TRK-813013,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,32,1742,7515.09,0.23,0.61,0,0.0
TRK-829386,Hamburg Port (DE),Port of Los Angeles (US),OceanNet Logistics,20,1811,5499.42,0.88,0.77,1,6.9
TRK-827744,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,28,757,6176.65,0.22,0.47,0,0.0
TRK-340068,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,33,2217,8711.68,0.49,0.89,1,9.8
TRK-208214,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,23,1786,4530.98,0.89,0.46,1,6.2
TRK-243790,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,27,350,5367.45,0.82,0.89,1,10.4
TRK-171734,Yokohama (JP),Port of Oakland (US),Maersk Line,7,841,1387.11,0.82,0.37,1,4.0
TRK-739966,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,23,2470,5513.84,0.92,0.92,1,7.7
TRK-468247,Rotterdam (NL),Port of Long Beach (US),DHL Express,8,1064,2215.58,0.42,0.14,0,0.0
TRK-531709,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,13,1253,2748.96,0.25,0.53,0,0.0
TRK-327797,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,15,1626,5472.63,0.62,0.09,0,0.0
TRK-888996,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,14,2124,4220.49,0.92,0.36,1,4.6
TRK-468611,Shenzhen Port (CN),Port of New York (US),DHL Express,27,933,7642.09,0.18,0.19,0,0.0
TRK-359822,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,18,1560,4362.3,0.38,0.74,1,6.2
TRK-360221,Yokohama (JP),Port of Oakland (US),Global Freight Air,25,382,5065.07,0.74,0.49,1,8.4
